,Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing estimates,Type of unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,
Housing starts,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total units,"158,601","177,973","125,860","162,645","134,900","165,826","199,785","245,986","222,562","215,382","181,630","156,197","168,271","155,443","154,057","110,933","124,713","147,040","137,439","149,968","151,653","162,733","205,034","218,426","233,431","225,481","227,395","228,343","211,056","149,081","189,930","193,950","214,827","187,923","189,329","195,535","197,916","219,763","212,843","208,685","217,880","271,198","261,849",,
,Single-detached,"87,721","89,071","54,457","102,385","83,651","98,624","120,008","140,139","128,465","125,968","102,315","86,567","92,851","85,099","89,509","64,425","77,996","93,186","86,431","92,190","92,184","96,026","125,374","123,227","129,171","120,463","121,313","118,917","93,202","75,659","92,554","82,392","83,657","76,893","75,515","68,125","74,089","76,843","65,940","55,869","60,023","82,116","72,647",,
,Multiples,"70,880","88,902","71,403","60,260","51,249","67,202","79,777","105,847","94,097","89,414","79,315","69,630","75,420","70,344","64,548","46,508","46,717","53,854","51,008","57,778","59,469","66,707","79,660","95,199","104,260","105,018","106,082","109,426","117,854","73,422","97,376","111,558","131,170","111,030","113,814","127,410","123,827","142,920","146,903","152,816","157,857","189,082","189,202",,
,Semi-detached,"11,149","11,768","6,254","6,615","5,592","6,338","8,272","8,460","7,628","7,524","7,551","9,035","10,314","11,441","12,119","7,536","9,305","11,385","10,043","11,096","11,530","11,883","13,584","13,644","14,297","13,477","14,358","14,432","12,651","11,114","13,006","12,570","14,285","12,544","13,407","11,047","10,830","12,291","10,992","10,018","11,398","13,276","11,429",,
,Row,"11,402","15,525","11,987","9,521","8,315","9,288","10,485","17,017","16,981","16,262","16,240","16,720","20,000","18,849","17,247","11,887","14,350","17,256","15,287","14,895","15,247","15,166","18,482","20,343","22,067","22,134","20,963","23,281","20,868","13,908","19,857","19,447","20,976","19,993","21,448","21,611","22,653","28,046","23,510","25,147","23,508","28,594","29,735",,
,Apartment and other unit types,"48,329","61,609","53,162","44,124","37,342","51,576","61,020","80,370","69,488","65,628","55,524","43,875","45,106","40,054","35,182","27,085","23,062","25,213","25,678","31,787","32,692","39,658","47,594","61,212","67,896","69,407","70,761","71,713","84,335","48,400","64,513","79,541","95,909","78,493","78,959","94,752","90,344","102,583","112,401","117,651","122,951","147,212","148,038",,
Housing under construction,Total units,"105,780","102,829","89,055","84,930","63,899","86,366","101,440","127,747","131,452","127,563","100,672","95,035","87,518","79,761","71,562","62,039","70,670","73,984","74,932","83,376","89,146","99,776","119,210","137,774","155,230","169,880","178,721","198,036","185,937","156,423","159,559","174,437","206,530","208,037","214,856","213,776","221,815","248,968","255,885","274,828","292,155","337,459","378,042",,
,Single-detached,"44,300","32,558","30,838","36,999","31,332","41,596","50,205","55,912","54,117","56,004","39,338","40,155","38,851","33,234","31,683","28,165","35,111","37,456","35,456","36,799","38,777","39,865","50,560","52,369","55,640","58,468","62,137","65,038","49,219","46,604","48,142","48,227","49,843","47,765","47,350","45,044","51,108","52,500","45,809","40,563","42,779","54,207","57,195",,
